1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: B90000005697A021
Is Mission Active?  false
Mission Start:  Sun Jul 18 17:50:00 CEST 2021
Sample Rate:  Every 255 minute(s)
Number of Mission Samples:  2074
Total Samples:  2074
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
7/18/21, 5:50:00 PM,C,21
7/18/21, 10:05:00 PM,C,21
7/19/21, 2:20:00 AM,C,21
7/19/21, 6:35:00 AM,C,21
7/19/21, 10:50:00 AM,C,25
7/19/21, 3:05:00 PM,C,34
7/19/21, 7:20:00 PM,C,33.5
7/19/21, 11:35:00 PM,C,19
7/20/21, 3:50:00 AM,C,14
7/20/21, 8:05:00 AM,C,11.5
7/20/21, 12:20:00 PM,C,18
7/20/21, 4:35:00 PM,C,15
7/20/21, 8:50:00 PM,C,11
7/21/21, 1:05:00 AM,C,10.5
7/21/21, 5:20:00 AM,C,9
7/21/21, 9:35:00 AM,C,9
7/21/21, 1:50:00 PM,C,10.5
7/21/21, 6:05:00 PM,C,10.5
7/21/21, 10:20:00 PM,C,8
7/22/21, 2:35:00 AM,C,6
7/22/21, 6:50:00 AM,C,5
7/22/21, 11:05:00 AM,C,15
7/22/21, 3:20:00 PM,C,14.5
7/22/21, 7:35:00 PM,C,11
7/22/21, 11:50:00 PM,C,8.5
7/23/21, 4:05:00 AM,C,7.5
7/23/21, 8:20:00 AM,C,10.5
7/23/21, 12:35:00 PM,C,17.5
7/23/21, 4:50:00 PM,C,16.5
7/23/21, 9:05:00 PM,C,12
7/24/21, 1:20:00 AM,C,10.5
7/24/21, 5:35:00 AM,C,9.5
7/24/21, 9:50:00 AM,C,17.5
7/24/21, 2:05:00 PM,C,20.5
7/24/21, 6:20:00 PM,C,17.5
7/24/21, 10:35:00 PM,C,13.5
7/25/21, 2:50:00 AM,C,12
7/25/21, 7:05:00 AM,C,11.5
7/25/21, 11:20:00 AM,C,20.5
7/25/21, 3:35:00 PM,C,19.5
7/25/21, 7:50:00 PM,C,16
7/26/21, 12:05:00 AM,C,12
7/26/21, 4:20:00 AM,C,10.5
7/26/21, 8:35:00 AM,C,14.5
7/26/21, 12:50:00 PM,C,21
7/26/21, 5:05:00 PM,C,19.5
7/26/21, 9:20:00 PM,C,14
7/27/21, 1:35:00 AM,C,12
7/27/21, 5:50:00 AM,C,11
7/27/21, 10:05:00 AM,C,19
7/27/21, 2:20:00 PM,C,19.5
7/27/21, 6:35:00 PM,C,18
7/27/21, 10:50:00 PM,C,13.5
7/28/21, 3:05:00 AM,C,12
7/28/21, 7:20:00 AM,C,12
7/28/21, 11:35:00 AM,C,22
7/28/21, 3:50:00 PM,C,22.5
7/28/21, 8:05:00 PM,C,17
7/29/21, 12:20:00 AM,C,14
7/29/21, 4:35:00 AM,C,12.5
7/29/21, 8:50:00 AM,C,17.5
7/29/21, 1:05:00 PM,C,23.5
7/29/21, 5:20:00 PM,C,21.5
7/29/21, 9:35:00 PM,C,16.5
7/30/21, 1:50:00 AM,C,15.5
7/30/21, 6:05:00 AM,C,15.5
7/30/21, 10:20:00 AM,C,26
7/30/21, 2:35:00 PM,C,29
7/30/21, 6:50:00 PM,C,23.5
7/30/21, 11:05:00 PM,C,20.5
7/31/21, 3:20:00 AM,C,20.5
7/31/21, 7:35:00 AM,C,21
7/31/21, 11:50:00 AM,C,24
7/31/21, 4:05:00 PM,C,23.5
7/31/21, 8:20:00 PM,C,21
8/1/21, 12:35:00 AM,C,20.5
8/1/21, 4:50:00 AM,C,19
8/1/21, 9:05:00 AM,C,16
8/1/21, 1:20:00 PM,C,22
8/1/21, 5:35:00 PM,C,20.5
8/1/21, 9:50:00 PM,C,16
8/2/21, 2:05:00 AM,C,14.5
8/2/21, 6:20:00 AM,C,13.5
8/2/21, 10:35:00 AM,C,21.5
8/2/21, 2:50:00 PM,C,24
8/2/21, 7:05:00 PM,C,20
8/2/21, 11:20:00 PM,C,16.5
8/3/21, 3:35:00 AM,C,16
8/3/21, 7:50:00 AM,C,17.5
8/3/21, 12:05:00 PM,C,26
8/3/21, 4:20:00 PM,C,25
8/3/21, 8:35:00 PM,C,19.5
8/4/21, 12:50:00 AM,C,15.5
8/4/21, 5:05:00 AM,C,13.5
8/4/21, 9:20:00 AM,C,19.5
8/4/21, 1:35:00 PM,C,25.5
8/4/21, 5:50:00 PM,C,22
8/4/21, 10:05:00 PM,C,16.5
8/5/21, 2:20:00 AM,C,14.5
8/5/21, 6:35:00 AM,C,13.5
8/5/21, 10:50:00 AM,C,22
8/5/21, 3:05:00 PM,C,23.5
8/5/21, 7:20:00 PM,C,18
8/5/21, 11:35:00 PM,C,15
8/6/21, 3:50:00 AM,C,13.5
8/6/21, 8:05:00 AM,C,13.5
8/6/21, 12:20:00 PM,C,15.5
8/6/21, 4:35:00 PM,C,16
8/6/21, 8:50:00 PM,C,12
8/7/21, 1:05:00 AM,C,10
8/7/21, 5:20:00 AM,C,9
8/7/21, 9:35:00 AM,C,10
8/7/21, 1:50:00 PM,C,12.5
8/7/21, 6:05:00 PM,C,12
8/7/21, 10:20:00 PM,C,8
8/8/21, 2:35:00 AM,C,6.5
8/8/21, 6:50:00 AM,C,7
8/8/21, 11:05:00 AM,C,8.5
8/8/21, 3:20:00 PM,C,9.5
8/8/21, 7:35:00 PM,C,9.5
8/8/21, 11:50:00 PM,C,8
8/9/21, 4:05:00 AM,C,8.5
8/9/21, 8:20:00 AM,C,9.5
8/9/21, 12:35:00 PM,C,13
8/9/21, 4:50:00 PM,C,14
8/9/21, 9:05:00 PM,C,11
8/10/21, 1:20:00 AM,C,10
8/10/21, 5:35:00 AM,C,10
8/10/21, 9:50:00 AM,C,15.5
8/10/21, 2:05:00 PM,C,19.5
8/10/21, 6:20:00 PM,C,17
8/10/21, 10:35:00 PM,C,14.5
8/11/21, 2:50:00 AM,C,13.5
8/11/21, 7:05:00 AM,C,14
8/11/21, 11:20:00 AM,C,23.5
8/11/21, 3:35:00 PM,C,24.5
8/11/21, 7:50:00 PM,C,19.5
8/12/21, 12:05:00 AM,C,17.5
8/12/21, 4:20:00 AM,C,17
8/12/21, 8:35:00 AM,C,18
8/12/21, 12:50:00 PM,C,26.5
8/12/21, 5:05:00 PM,C,22
8/12/21, 9:20:00 PM,C,19
8/13/21, 1:35:00 AM,C,18
8/13/21, 5:50:00 AM,C,17
8/13/21, 10:05:00 AM,C,24
8/13/21, 2:20:00 PM,C,27.5
8/13/21, 6:35:00 PM,C,22
8/13/21, 10:50:00 PM,C,18
8/14/21, 3:05:00 AM,C,16.5
8/14/21, 7:20:00 AM,C,16
8/14/21, 11:35:00 AM,C,24
8/14/21, 3:50:00 PM,C,24
8/14/21, 8:05:00 PM,C,18.5
8/15/21, 12:20:00 AM,C,15.5
8/15/21, 4:35:00 AM,C,14
8/15/21, 8:50:00 AM,C,18
8/15/21, 1:05:00 PM,C,23
8/15/21, 5:20:00 PM,C,20.5
8/15/21, 9:35:00 PM,C,16.5
8/16/21, 1:50:00 AM,C,15
8/16/21, 6:05:00 AM,C,13.5
8/16/21, 10:20:00 AM,C,14.5
8/16/21, 2:35:00 PM,C,15
8/16/21, 6:50:00 PM,C,13
8/16/21, 11:05:00 PM,C,10.5
8/17/21, 3:20:00 AM,C,8.5
8/17/21, 7:35:00 AM,C,8
8/17/21, 11:50:00 AM,C,10
8/17/21, 4:05:00 PM,C,11
8/17/21, 8:20:00 PM,C,9
8/18/21, 12:35:00 AM,C,8.5
8/18/21, 4:50:00 AM,C,7
8/18/21, 9:05:00 AM,C,10
8/18/21, 1:20:00 PM,C,16.5
8/18/21, 5:35:00 PM,C,14.5
8/18/21, 9:50:00 PM,C,11
8/19/21, 2:05:00 AM,C,10.5
8/19/21, 6:20:00 AM,C,9
8/19/21, 10:35:00 AM,C,14.5
8/19/21, 2:50:00 PM,C,14
8/19/21, 7:05:00 PM,C,13
8/19/21, 11:20:00 PM,C,11.5
8/20/21, 3:35:00 AM,C,9.5
8/20/21, 7:50:00 AM,C,11
8/20/21, 12:05:00 PM,C,12
8/20/21, 4:20:00 PM,C,12
8/20/21, 8:35:00 PM,C,10
8/21/21, 12:50:00 AM,C,9.5
8/21/21, 5:05:00 AM,C,9
8/21/21, 9:20:00 AM,C,10
8/21/21, 1:35:00 PM,C,11.5
8/21/21, 5:50:00 PM,C,11
8/21/21, 10:05:00 PM,C,9.5
8/22/21, 2:20:00 AM,C,9
8/22/21, 6:35:00 AM,C,8
8/22/21, 10:50:00 AM,C,8
8/22/21, 3:05:00 PM,C,8
8/22/21, 7:20:00 PM,C,6.5
8/22/21, 11:35:00 PM,C,5
8/23/21, 3:50:00 AM,C,5
8/23/21, 8:05:00 AM,C,5.5
8/23/21, 12:20:00 PM,C,7
8/23/21, 4:35:00 PM,C,9.5
8/23/21, 8:50:00 PM,C,6
